resultsId,seasonId,raceId,pos,number,teamId,driverId,laps,time,gap,interval,kp/h,best,lap,POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,is_dnf,best_lap_seconds
473,3,25,9,3,32,58,45,56:41.7,14.156,0.434,99.675,01:04.1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.1
474,3,25,10,33,45,35,45,56:43.3,15.717,1.561,99.63,01:04.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.3
475,3,25,11,27,5,29,45,56:49.0,21.459,5.742,99.462,01:03.8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.8
476,3,25,12,23,25,37,45,56:54.8,27.232,5.773,99.294,01:03.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.9
477,3,25,13,9,40,10,45,57:28.9, 1:1.365,34.133,98.311,01:03.1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.1
478,3,25,14,7,20,17,45,57:37.2, 1:9.646,8.281,98.075,01:04.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.5
479,3,25,15,4,47,63,44,57:03.7,36.174,1 Lap,96.833,01:03.4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.4
480,3,25,16,19,25,61,43,54:38.3,2 Laps,1 Lap,98.829,01:04.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64
481,3,26,,7,20,17,43,50:46.8,,,89.675,53.869,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
482,3,26,,37,16,45,43,50:17.0,,,90.559,53.909,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
483,3,26,,6,20,21,40,51:20.3,,,82.512,54.288,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
484,3,26,,2,16,7,36,48:11.0,,,79.122,53.822,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
485,3,26,,25,45,76,20,18:34.4,,,114.039,55.064,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
486,3,26,1,9,40,10,51,51:05.5,,,105.71,54.978,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
487,3,26,2,11,2,33,51,51:05.8,0.32,0.32,105.699,54.863,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
488,3,26,3,23,25,37,51,51:19.2,13.678,13.358,105.24,55.26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
489,3,26,4,3,32,58,51,51:24.6,19.074,5.396,105.056,55.272,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
490,3,26,5,5,47,22,51,51:25.0,19.518,0.444,105.041,55.549,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
491,3,26,6,19,25,61,51,51:25.1,19.599,0.081,105.038,55.512,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
492,3,26,7,66,2,1,51,51:25.9,20.43,0.831,105.01,55.383,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
493,3,26,8,33,45,35,51,51:37.8,32.295,11.865,104.608,55.251,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
494,3,26,9,8,40,59,51,51:41.2,35.667,3.372,104.494,55.361,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
495,3,26,10,20,39,24,51,51:43.9,38.41,2.743,104.402,55.555,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
496,3,26,11,28,5,25,51,52:13.8, 1:8.330,29.92,103.405,55.485,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
497,3,26,12,27,5,29,51,52:19.5, 1:14.053,5.723,103.216,55.479,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
498,3,26,13,88,32,72,50,50:42.3,1 Lap,1 Lap,104.428,55.622,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
499,3,26,14,47,39,12,50,51:08.4,2.922,26.127,103.538,55.959,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
500,3,26,15,4,47,63,49,50:32.3,2 Laps,1 Lap,102.676,54.49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
501,3,27,,11,2,33,38,54:54.4,,,79.728,01:02.4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,62.4
502,3,27,,7,20,17,35,53:12.4,,,75.778,01:02.7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,62.7
503,3,27,,25,45,76,33,38:27.0,,,98.869,01:03.6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,63.6
504,3,27,,28,5,25,18,19:40.6,,,105.387,01:04.7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,64.7
505,3,27,1,9,40,10,49,59:41.1,,,94.575,01:03.2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.2
506,3,27,2,37,16,45,49,59:41.8,0.707,0.707,94.557,01:03.3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.3
507,3,27,3,23,25,37,49,59:43.2,2.043,1.336,94.521,01:03.4,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.4
508,3,27,4,19,25,61,49,59:43.7,2.621,0.578,94.506,01:03.5,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.5
509,3,27,5,8,40,59,49,59:44.6,3.521,0.9,94.482,01:03.8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.8
510,3,27,6,27,5,29,49,59:49.1,7.999,4.478,94.365,01:03.8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.8
511,3,27,7,3,32,58,49,00:13.5,32.42,24.421,93.727,01:03.8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.8
512,3,27,8,5,47,19,49,00:14.1,32.929,0.509,93.714,01:04.1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.1
513,3,27,9,20,39,24,49,00:14.5,33.369,0.44,93.702,01:04.2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.2
514,3,27,10,4,47,63,49,00:15.2,34.051,0.682,93.685,01:03.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.9
515,3,27,11,33,45,35,49,00:17.3,36.197,2.146,93.629,01:03.7,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.7
516,3,27,12,88,32,72,49,00:21.2,40.082,3.885,93.529,01:04.3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.3
517,3,27,13,66,2,1,48,58:19.9,1 Lap,1 Lap,94.796,01:03.8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.8
518,3,27,14,6,20,16,48,00:13.1,31.987, 1:53.237,91.825,01:03.1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,63.1
519,3,27,15,47,39,12,48,00:17.2,36.111,4.124,91.72,01:04.3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.3
520,3,27,16,2,16,7,47,00:19.9,38.78,2.669,89.743,01:02.4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,62.4
521,3,28,,9,40,10,44,53:37.5,,,112.096,01:11.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71
522,3,28,,20,39,24,16,51:46.2,,,42.223,01:10.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.2
523,3,28,1,19,25,61,44,53:19.7,,,112.723,01:10.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.9
524,3,28,2,11,2,33,44,53:21.9,2.232,2.232,112.644,01:11.1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.1
525,3,28,3,23,25,37,44,53:23.7,4.058,1.826,112.58,01:10.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.9
526,3,28,4,37,16,45,44,53:33.3,13.638,9.58,112.245,01:11.2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.2
527,3,28,5,8,40,59,44,53:38.7,19.068,5.43,112.055,01:11.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.1
528,3,28,6,66,2,1,44,53:39.5,19.799,0.731,112.03,01:11.2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.2
529,3,28,7,2,16,7,44,53:39.7,20.065,0.266,112.02,01:10.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,70.9
530,3,28,8,25,45,76,44,53:40.3,20.689,0.624,111.999,01:11.4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.4
531,3,28,9,5,47,22,44,53:58.7,39.03,18.341,111.364,01:11.8,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
532,3,28,10,88,32,72,44,54:00.6,40.985,1.955,111.297,01:11.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
533,3,28,11,33,45,63,44,54:02.3,42.682,1.697,111.239,01:11.6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
534,3,28,12,3,32,58,44,54:02.6,42.98,0.298,111.229,01:11.6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
535,3,28,13,7,20,17,44,54:05.4,45.712,2.732,111.135,01:11.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
536,3,28,14,47,39,12,44,54:09.3,49.658,3.946,111,01:11.7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
537,3,28,15,6,20,21,44,54:18.7,59.01,9.352,110.682,01:12.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.2
538,3,28,16,28,5,25,44,54:19.9,+ 1:00.269,1.259,110.639,01:11.1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.1
539,3,28,17,27,5,29,44,54:22.1, 1:2.463,2.194,110.565,01:11.6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
540,3,28,18,4,47,19,44,54:27.4, 1:7.695,5.232,110.387,01:11.7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
541,3,29,,6,20,21,33,54:57.3,,,82.038,01:09.7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,69.7
542,3,29,,5,47,22,14,56:56.3,,,33.591,01:09.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,69.5
543,3,29,1,9,40,10,46,56:02.2,,,112.151,01:11.3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.3
544,3,29,2,19,25,61,46,56:09.3,7.195,7.195,111.912,01:11.3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.3
545,3,29,3,11,2,33,46,56:13.0,10.862,3.667,111.79,01:11.5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.5
546,3,29,4,66,2,1,46,56:15.8,13.631,2.769,111.698,01:11.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
547,3,29,5,37,16,45,46,56:22.5,20.324,6.693,111.477,01:11.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
548,3,29,6,25,45,76,46,56:22.9,20.751,0.427,111.463,01:11.8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
549,3,29,7,2,16,7,46,56:24.1,21.959,1.208,111.423,01:11.9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.9
550,3,29,8,8,40,59,46,56:24.3,22.155,0.196,111.417,01:11.6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
551,3,29,9,88,32,72,46,56:37.1,34.949,12.794,110.997,01:12.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.1
552,3,29,10,23,25,37,46,56:38.0,35.814,0.865,110.969,01:11.4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.4
553,3,29,11,28,5,25,46,56:46.2,44.057,8.243,110.701,01:11.8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
554,3,29,12,3,32,58,46,56:46.6,44.439,0.382,110.688,01:11.9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.9
555,3,29,13,7,20,17,46,56:49.5,47.336,2.897,110.594,01:11.9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.9
556,3,29,14,33,45,63,46,56:53.8,51.653,4.317,110.454,01:11.7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.7
557,3,29,15,4,47,19,46,56:59.1,56.977,5.324,110.282,01:11.6,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.6
558,3,29,16,47,39,12,46,57:07.6, 1:5.426,8.449,110.01,01:11.9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.9
559,3,29,17,20,39,24,46,57:09.2, 1:7.018,1.592,109.959,01:11.8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,71.8
560,3,29,18,27,5,29,46,57:14.2, 1:12.083,5.065,109.797,01:12.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,72.2
561,3,30,1,2,16,7,43,52:29.3,,,95.998,01:04.5,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.5
562,3,30,2,25,45,76,43,52:30.6,1.354,1.354,95.956,01:04.8,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.8
563,3,30,3,33,45,63,43,52:33.7,4.392,3.038,95.864,01:05.1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.1
564,3,30,4,11,2,33,43,52:35.4,6.155,1.763,95.81,01:04.7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.7
565,3,30,5,6,20,21,43,52:37.7,8.428,2.273,95.741,01:05.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.5
566,3,30,6,88,32,72,43,52:38.2,8.952,0.524,95.725,01:05.7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.7
567,3,30,7,9,40,31,43,52:38.6,9.321,0.369,95.714,01:05.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65
568,3,30,8,8,40,59,43,52:39.3,10.036,0.715,95.693,01:05.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65
569,3,30,9,27,5,29,43,52:40.3,11.019,0.983,95.663,01:05.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.2
570,3,30,10,47,39,12,43,52:41.3,12.073,1.054,95.631,01:05.3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.3
571,3,30,11,3,32,58,43,52:42.3,12.977,0.904,95.604,01:05.4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.4
572,3,30,12,28,5,25,43,52:42.6,13.341,0.364,95.593,01:05.4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.4
573,3,30,13,4,47,19,43,52:45.6,16.337,2.996,95.502,01:05.3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.3
574,3,30,14,66,2,1,42,51:27.1,1 Lap,1 Lap,95.654,01:04.9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.9
575,3,30,15,19,25,61,42,52:56.5,1 Lap, 1:29.404,92.962,01:04.6,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.6
576,3,30,,23,25,37,35,40:07.9,,102.194,0.000750127,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
577,3,30,,5,47,22,30,53:13.4,,66.05,0.000739387,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
578,3,30,,37,16,47,23,27:00.9,,99.763,0.000758947,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
579,3,30,,7,20,17,22,52:05.8,,49.484,0.000740752,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
580,3,30,,20,39,24,18,53:24.7,,39.49,0.000748623,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
581,3,31,1,2,16,7,49,58:09.4,,,98.73,01:05.8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.8
582,3,31,2,19,25,61,49,58:20.8,11.381,11.381,98.409,01:05.6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.6
583,3,31,3,23,25,37,49,58:21.7,12.319,0.938,98.383,01:05.6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.6
584,3,31,4,9,40,31,49,58:21.7,12.355,0.036,98.382,01:05.6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.6
585,3,31,5,11,2,33,49,58:32.8,23.451,11.096,98.071,01:05.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.9
586,3,31,6,8,40,59,49,58:39.9,30.47,7.019,97.875,01:06.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,66.2
587,3,31,7,4,47,19,49,58:51.2,41.862,11.392,97.56,01:06.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,66.3
588,3,31,8,25,45,76,49,59:01.7,52.292,10.43,97.272,01:05.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.5
589,3,31,9,27,5,29,49,59:09.9,+ 1:00.475,8.183,97.048,01:05.7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.7
590,3,31,10,7,20,17,49,59:22.0, 1:12.659,12.184,96.716,01:06.3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,66.3
591,3,31,11,47,39,12,49,59:50.5, 1:41.134,28.475,95.949,01:06.3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,66.3
592,3,31,12,33,45,63,48,57:57.0,1 Lap,1 Lap,97.06,01:05.7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.7
593,3,31,13,6,20,21,48,57:58.5,1 Lap,1.454,97.019,01:06.3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,66.3
594,3,31,14,88,32,72,48,58:10.4,1 Lap,11.974,96.686,01:05.4,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,65.4
595,3,31,15,28,5,25,48,58:15.7,1 Lap,5.267,96.541,01:06.3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,66.3
596,3,31,16,3,32,58,46,56:29.6,3 Laps,2 Laps,95.415,01:04.8,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,64.8
597,3,31,,5,47,22,22,57:47.7,,44.605,0.000740069,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
598,3,31,,37,16,47,19,22:49.6,,97.532,0.00076559,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
599,3,31,,66,2,1,18,57:18.0,,36.81,0.00073956,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
600,3,31,,20,39,24,5,06:21.0,,92.279,0.000774248,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
601,3,32,,9,40,10,35,57:03.8,,,101.017,01:25.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85
602,3,32,,6,20,21,26,53:21.9,,,80.244,01:24.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.5
603,3,32,,37,16,45,23,36:41.0,,,103.264,01:26.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,86.1
604,3,32,,23,25,37,13,19:10.2,,,111.689,01:26.3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,86.3
605,3,32,1,11,2,33,35,56:55.6,,,101.262,01:25.1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.1
606,3,32,2,25,45,76,35,56:55.9,0.35,0.35,101.251,01:25.1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.1
607,3,32,3,33,45,63,35,57:03.5,7.869,7.519,101.029,01:25.4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
608,3,32,4,66,2,1,35,57:04.2,8.592,0.723,101.008,01:25.4,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
609,3,32,5,2,16,7,35,57:04.5,8.913,0.321,100.998,01:24.9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.9
610,3,32,6,8,40,59,35,57:05.6,10.058,1.145,100.964,01:24.8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.8
611,3,32,7,20,39,24,35,57:06.0,10.457,0.399,100.953,01:25.5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.5
612,3,32,8,27,5,29,35,57:11.4,15.836,5.379,100.794,01:25.8,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.8
613,3,32,9,19,25,61,35,57:12.4,16.764,0.928,100.767,01:26.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86
614,3,32,10,4,47,19,35,57:14.9,19.32,2.556,100.692,01:26.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.2
615,3,32,11,7,20,17,35,57:15.8,20.229,0.909,100.665,01:26.4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.4
616,3,32,12,5,47,22,35,57:17.9,22.314,2.085,100.604,01:26.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.7
617,3,32,13,3,32,58,35,57:18.7,23.145,0.831,100.58,01:26.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.5
618,3,32,14,28,5,25,35,57:30.4,34.786,11.641,100.241,01:26.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.1
619,3,32,15,88,32,72,35,57:42.6,46.996,12.21,99.887,01:26.3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86.3
620,3,32,16,47,39,12,35,57:45.2,49.612,2.616,99.812,01:25.4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
621,3,33,1,25,45,76,37,54:12.6,,,112.412,01:25.3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.3
622,3,33,2,19,25,61,37,54:13.5,0.896,0.896,112.381,01:25.4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
623,3,33,3,37,16,45,37,54:17.1,4.468,3.572,112.258,01:24.8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,84.8
624,3,33,4,2,16,7,37,54:19.7,7.114,2.646,112.167,01:25.4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.4
625,3,33,5,23,25,37,37,54:34.5,21.933,14.819,111.659,01:26.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,86
626,3,33,6,66,2,1,37,54:37.0,24.444,2.511,111.574,01:25.2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.2
627,3,33,7,11,2,33,37,54:37.5,24.855,0.411,111.56,01:25.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,85.5
